speciesGroup,taxonomicRankKingdom,taxonomicRankPhylum,taxonomicRankClass,taxonomicRankOrder,taxonomicRankFamily,taxonomicRankGenus,taxonomicRankSpecies,endemicToEurope,europeanRegionalRedListCategory,populationTrend
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,dickhilleni,Yes,VU,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,muletensis,Yes,VU,Increasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,obstetricans,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Discoglossus,galganoi,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Discoglossus,jeanneae,Yes,NT,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Discoglossus,montalentii,Yes,NT,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Discoglossus,pictus,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Discoglossus,sardus,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BOMBINATORIDAE,Bombina,bombina,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BOMBINATORIDAE,Bombina,pachypus,Yes,EN,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BOMBINATORIDAE,Bombina,variegata,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Bufo,bufo,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Bufo,mauritanicus,No,NA,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Epidalea,calamita,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Pseudepidalea,balearica,Yes,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Pseudepidalea,boulengeri,No,NA,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Pseudepidalea,sicula,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Pseudepidalea,variabilis,No,DD,Unknown
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Pseudepidalea,viridis,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,arborea,No,LC,Decreasing
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,intermedia,Yes,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,meridionalis,No,LC,Stable
Amphibians_Reptiles,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Hyla,sarda,Yes,LC,Stable
