from_id,to_id,rank,gender,field
2,1,Assoc,M,business
2,1,Assoc,F,business
2,1,Assoc,M,business
2,1,Full,M,business
2,1,Full,M,business
2,3,Asst,F,history
2,4,Asst,M,business
2,4,Asst,M,business
2,4,Asst,F,business
2,4,Asst,F,business
2,4,Asst,F,business
2,4,Asst,M,business
2,4,Asst,F,business
2,4,Asst,F,business
2,4,Assoc,M,business
2,4,Assoc,M,business
2,4,Assoc,M,business
2,4,Full,M,business
2,4,Full,M,business
2,4,Full,M,business
2,4,Full,M,business
2,4,Full,M,business
2,4,Full,M,business
2,4,Full,M,business
2,4,Full,M,business
2,4,Full,M,business
2,4,Full,M,business
2,4,Assoc,M,computer_science
2,4,Full,M,computer_science
2,4,Assoc,M,history
2,4,Assoc,F,history
2,4,Assoc,F,history
2,4,Full,M,history
2,4,Full,F,history
2,5,Asst,M,business
2,5,Asst,M,business
2,5,Asst,F,business
2,5,Asst,M,business
2,5,Assoc,M,business
2,5,Assoc,F,business
2,5,Assoc,M,business
2,5,Assoc,M,business
2,5,Assoc,M,business
2,5,Full,M,business
2,5,Full,M,business
2,5,Full,M,business
2,5,Full,M,business
2,5,Full,M,business
2,5,Assoc,M,computer_science
2,6,Assoc,M,business
2,6,Assoc,M,business
2,6,Assoc,M,business
2,6,Assoc,M,business
2,6,Full,M,business
2,6,Full,M,business
2,6,Full,F,business
2,6,Full,M,business
2,6,Full,M,business
2,7,Assoc,M,business
2,7,Assoc,M,business
2,7,Assoc,F,business
2,7,Assoc,F,business
2,7,Assoc,F,business
2,7,Full,M,business
2,7,Full,M,business
2,7,Full,M,business
2,7,Full,M,business
2,7,Full,M,business
2,7,Full,M,business
2,7,Full,M,business
2,8,Asst,M,business
2,8,Asst,F,business
2,8,Asst,F,business
2,8,Asst,M,business
2,8,Asst,M,business
2,8,Asst,M,business
2,8,Asst,M,business
2,8,Assoc,M,business
2,8,Assoc,F,business
2,8,Assoc,F,business
2,8,Assoc,M,business
2,8,Assoc,F,business
2,8,Assoc,M,business
2,8,Assoc,F,business
2,8,Assoc,M,business
2,8,Assoc,M,business
2,8,Assoc,F,business
2,8,Assoc,M,business
2,8,Assoc,M,business
2,8,Assoc,F,business
2,8,Assoc,F,business
2,8,Assoc,F,business
2,8,Assoc,F,business
2,8,Assoc,M,business
2,8,Assoc,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,F,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,F,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,F,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,M,business
2,8,Full,F,business
2,8,Full,M,business
2,9,Asst,M,business
2,9,Asst,M,business
2,9,Assoc,M,business
2,9,Assoc,M,business
2,9,Assoc,M,business
2,9,Full,F,business
2,9,Full,F,business
2,9,Full,M,business
2,9,Full,M,business
2,9,Asst,M,history
2,9,Asst,F,history
2,9,Assoc,M,history
2,10,Asst,M,business
2,10,Asst,M,business
2,10,Asst,M,business
2,10,Asst,M,business
2,10,Asst,M,business
2,10,Assoc,M,business
2,10,Full,M,business
2,10,Asst,F,computer_science
2,10,Full,M,computer_science
2,10,Full,M,computer_science
2,10,Assoc,M,history
2,10,Full,M,history
2,10,Full,M,history
2,11,Full,M,history
2,12,Full,F,computer_science
2,12,Assoc,F,history
2,12,Full,M,history
2,13,Asst,M,business
2,13,Asst,M,business
2,13,Assoc,M,business
2,13,Assoc,M,business
2,13,Full,M,business
2,13,Full,M,business
2,13,Full,M,business
2,13,Full,M,business
2,14,Full,M,computer_science
2,14,Full,F,computer_science
2,14,Full,M,computer_science
2,14,Full,M,computer_science
2,14,Full,M,computer_science
2,14,Assoc,M,history
2,14,Full,M,history
2,14,Full,M,history
2,15,Full,M,computer_science
2,15,Full,M,computer_science
2,15,Full,M,computer_science
2,16,Full,M,computer_science
2,16,Full,M,computer_science
2,16,Full,M,computer_science
2,16,Full,M,computer_science
2,16,Full,M,computer_science
2,16,Full,M,computer_science
2,17,Asst,M,business
2,17,Asst,M,business
2,17,Asst,F,business
2,17,Asst,M,business
2,17,Asst,M,business
2,17,Asst,M,business
2,17,Asst,M,business
2,17,Asst,M,business
2,17,Asst,M,business
2,17,Assoc,M,business
2,17,Assoc,M,business
2,17,Assoc,M,business
2,17,Full,M,business
2,17,Full,M,business
2,17,Full,M,business
2,17,Full,M,business
2,17,Full,M,business
2,17,Asst,M,computer_science
2,17,Assoc,M,computer_science
2,17,Full,M,computer_science
2,17,Full,M,computer_science
2,17,Full,M,computer_science
2,17,Full,M,computer_science
2,17,Full,F,computer_science
2,17,Assoc,F,history
2,17,Full,M,history
2,18,Asst,M,business
2,18,Assoc,M,business
2,18,Assoc,M,business
2,18,Full,F,business
2,18,Full,M,business
2,18,Full,M,business
2,18,Full,M,business
2,18,Full,M,computer_science
2,19,Asst,M,computer_science
2,19,Assoc,M,history
2,19,Full,M,history
2,19,Full,M,history
2,20,Assoc,F,business
2,20,Full,M,computer_science
2,21,Asst,M,business
2,21,Asst,M,business
2,21,Asst,M,business
2,21,Asst,F,business
2,21,Asst,M,business
2,21,Assoc,M,business
2,21,Assoc,M,business
2,21,Assoc,M,business
2,21,Assoc,M,business
2,21,Full,M,business
2,22,Full,M,history
2,22,Full,F,history
2,22,Full,M,history
2,22,Full,M,history
2,23,Full,M,computer_science
2,24,Asst,F,business
2,24,Full,M,business
2,24,Full,M,business
2,24,Asst,M,computer_science
2,24,Assoc,M,computer_science
2,26,Assoc,M,computer_science
2,26,Full,M,computer_science
2,26,Full,M,computer_science
2,27,Asst,M,business
2,27,Asst,M,business
2,27,Asst,M,business
2,27,Asst,M,business
2,27,Asst,F,business
2,27,Assoc,F,business
2,27,Assoc,M,business
2,27,Assoc,M,business
2,27,Full,M,business
2,27,Full,M,business
2,27,Full,M,business
2,27,Full,M,business
2,27,Full,M,business
2,27,Full,M,business
2,27,Full,M,business
2,27,Full,M,business
2,27,Full,M,business
2,27,Full,M,business
2,27,Full,F,business
2,27,Asst,M,computer_science
2,27,Asst,M,computer_science
2,27,Asst,F,computer_science
2,27,Asst,M,computer_science
2,27,Full,M,computer_science
2,27,Asst,M,history
2,27,Asst,M,history
2,27,Asst,F,history
2,27,Assoc,M,history
2,27,Assoc,F,history
2,27,Full,M,history
2,27,Full,M,history
2,27,Full,M,history
2,27,Full,M,history
2,27,Full,M,history
2,27,Full,F,history
2,27,Full,M,history
2,27,Full,M,history
2,27,Full,M,history
2,27,Full,M,history
2,28,Asst,F,computer_science
2,28,Asst,F,computer_science
2,28,Assoc,M,computer_science
2,28,Assoc,M,computer_science
2,28,Assoc,M,computer_science
2,28,Assoc,M,computer_science
2,28,Full,M,computer_science
2,28,Full,M,computer_science
2,28,Full,M,computer_science
2,28,Full,M,computer_science
2,28,Full,F,computer_science
2,28,Full,M,computer_science
2,28,Full,M,computer_science
2,28,Full,M,computer_science
2,29,Asst,M,business
2,29,Assoc,F,computer_science
2,29,Assoc,M,computer_science
2,29,Assoc,M,computer_science
2,29,Assoc,M,computer_science
2,29,Full,M,computer_science
2,29,Full,M,computer_science
2,29,Full,M,computer_science
2,29,Full,F,computer_science
2,29,Assoc,M,history
2,29,Assoc,M,history
2,29,Full,M,history
2,29,Full,M,history
2,30,Asst,M,business
2,30,Asst,M,business
2,30,Asst,F,business
2,30,Asst,M,business
2,30,Assoc,F,business
2,30,Assoc,M,business
2,30,Assoc,M,business
2,30,Assoc,M,business
2,30,Assoc,M,business
2,30,Assoc,M,business
2,30,Assoc,F,business
2,30,Assoc,F,business
2,30,Full,M,business
2,30,Full,F,business
2,30,Full,M,business
2,30,Full,M,business
2,30,Full,F,business
2,30,Full,M,business
2,30,Full,M,business
2,30,Full,M,business
2,30,Full,M,business
2,30,Full,M,business
2,30,Full,F,business
2,30,Full,M,business
2,30,Full,M,business
2,30,Full,F,business
2,30,Full,M,business
2,30,Full,M,business
2,31,Full,M,computer_science
2,31,Full,M,computer_science
2,31,Full,M,computer_science
2,31,Full,M,computer_science
2,31,Assoc,M,history
2,31,Assoc,M,history
2,31,Assoc,M,history
2,31,Full,M,history
2,31,Full,M,history
2,31,Full,M,history
2,32,Assoc,M,computer_science
2,32,Assoc,M,computer_science
2,32,Assoc,M,computer_science
2,32,Assoc,M,computer_science
2,32,Full,M,computer_science
2,32,Full,M,computer_science
2,32,Full,M,computer_science
2,32,Full,F,computer_science
2,32,Full,M,computer_science
2,32,Full,M,computer_science
2,33,Full,M,computer_science
2,34,Asst,M,business
2,34,Asst,M,business
2,34,Asst,M,business
2,34,Asst,F,business
2,34,Asst,M,business
2,34,Asst,M,business
2,34,Assoc,M,business
2,34,Assoc,M,business
2,34,Assoc,F,business
2,34,Assoc,F,business
2,34,Assoc,M,business
2,34,Assoc,M,business
2,34,Assoc,F,business
2,34,Assoc,M,business
2,34,Assoc,M,business
2,34,Assoc,M,business
2,34,Assoc,M,business
2,34,Assoc,M,business
2,34,Assoc,F,business
2,34,Assoc,M,business
2,34,Assoc,M,business
2,34,Full,M,business
2,34,Full,M,business
2,34,Full,M,business
2,34,Full,M,business
2,34,Full,M,business
2,34,Full,F,business
2,34,Full,M,business
2,34,Full,M,business
2,34,Full,M,business
2,34,Assoc,M,computer_science
2,34,Assoc,F,computer_science
2,34,Assoc,M,computer_science
2,34,Assoc,M,computer_science
2,34,Assoc,F,computer_science
2,35,Full,F,history
2,36,Asst,F,business
2,36,Asst,F,business
2,36,Asst,M,business
2,36,Asst,M,business
2,36,Asst,M,business
2,36,Assoc,F,business
2,36,Assoc,M,business
2,36,Full,M,business
2,36,Full,M,business
