Talk_ID,public_url,speaker_name,duration,published,tags,views
1,https://www.ted.com/talks/al_gore_on_averting_climate_crisis,Al Gore,00:16:17,6/27/06,"alternative energy,cars,global issues,climate change,environment,science,culture,sustainability,technology",3266733
7,https://www.ted.com/talks/david_pogue_says_simplicity_sells,David Pogue,00:21:26,6/27/06,"simplicity,entertainment,interface design,software,media,computers,technology,music,performance",1702201
53,https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal,Majora Carter,00:18:36,6/27/06,"MacArthur grant,cities,green,activism,politics,pollution,environment,inequality,business",2000421
66,https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity,Ken Robinson,00:19:24,6/27/06,"children,teaching,creativity,parenting,culture,dance,education",51614087
92,https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen,Hans Rosling,00:19:50,6/27/06,"demo,Asia,global issues,visualizations,global development,statistics,math,health,economics,Google,Africa",12662135
96,https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do,Tony Robbins,00:21:45,6/27/06,"entertainment,goal-setting,potential,psychology,motivation,emotions,culture,business",22368699
49,https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library,Joshua Prince-Ramus,00:19:58,7/10/06,"library,architecture,design,culture,collaboration",1042335
86,https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god,Julia Sweeney,00:16:32,7/10/06,"atheism,Christianity,religion,God,comedy,humor,storytelling,culture,performance",3903747
71,https://www.ted.com/talks/rick_warren_on_a_life_of_purpose,Rick Warren,00:21:02,7/18/06,"Christianity,philanthropy,religion,God,happiness,motivation,culture,leadership",3361934
94,https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren,Dan Dennett,00:24:45,7/18/06,"atheism,consciousness,evolution,philosophy,religion,God,cognitive science,brain",2751013
54,https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture,Cameron Sinclair,00:23:34,7/25/06,"disaster relief,open-source,philanthropy,global issues,architecture,activism,design,invention,culture,collaboration",1248115
55,https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film,Jehane Noujaim,00:25:38,7/25/06,"TED Prize,peace,entertainment,movies,global issues,film,storytelling,art,culture,social change",409921
58,https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics,Larry Brilliant,00:25:50,7/25/06,"TED Prize,ebola,global issues,health,disease,science,technology,collaboration",746018
41,https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child,Nicholas Negroponte,00:17:37,8/1/06,"philanthropy,global issues,children,design,entrepreneur,technology,education,social change",398774
65,https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen,Jeff Han,00:08:47,8/1/06,"demo,interface design,design,technology",4609377
46,https://www.ted.com/talks/jennifer_lin_improvs_piano_magic,Jennifer Lin,00:24:05,8/8/06,"wunderkind,entertainment,piano,creativity,music,performance",1680398
45,https://www.ted.com/talks/sirena_huang_dazzles_on_violin,Sirena Huang,00:24:41,8/8/06,"violin,wunderkind,entertainment,youth,music,performance",2811646
27,https://www.ted.com/talks/ross_lovegrove_shares_organic_designs,Ross Lovegrove,00:19:30,8/15/06,"science and art,DNA,industrial design,nature,design,creativity,product design,biology,invention",1128239
2,https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design,Amy Smith,00:15:06,8/15/06,"simplicity,MacArthur grant,alternative energy,industrial design,engineering,global issues,design,invention",1513956
25,https://www.ted.com/talks/richard_baraniuk_on_open_source_learning,Richard Baraniuk,00:18:34,8/21/06,"library,open-source,global issues,culture,business,technology,collaboration",1002555
87,https://www.ted.com/talks/ze_frank_s_nerdcore_comedy,Ze Frank,00:18:56,8/25/06,"demo,entertainment,software,comedy,humor,culture,collaboration,dance,performance,community",6421683
21,https://www.ted.com/talks/mena_trott_tours_her_blog_world,Mena Trott,00:16:46,8/25/06,"entertainment,software,storytelling,design,culture,business,communication,community",534963
64,https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul,Eve Ensler,00:20:25,9/6/06,"theater,entertainment,gender,global issues,happiness,women,storytelling,culture,performance",1194219
16,https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat,Helen Fisher,00:23:27,9/6/06,"evolution,gender,psychology,love,relationships,cognitive science,science,culture",9865661
20,https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce,Malcolm Gladwell,00:17:30,9/19/06,"marketing,consumerism,choice,media,storytelling,food,economics,culture,business",7369998
29,https://www.ted.com/talks/steven_levitt_analyzes_crack_economics,Steven Levitt,00:21:15,9/19/06,"narcotics,cities,economics,culture,business,race",3066070
97,https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy,Dan Gilbert,00:21:16,9/26/06,"evolution,choice,happiness,psychology,brain,science,culture",15685502
12,https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine,Eva Vertes,00:18:49,10/2/06,"wunderkind,health,disease,cancer,science,technology",1067666
89,https://www.ted.com/talks/ben_saunders_skis_to_the_north_pole,Ben Saunders,00:18:03,10/25/06,"travel,sports,global issues,climate change,potential,exploration,personal growth,culture,technology",792131
4,https://www.ted.com/talks/burt_rutan_sees_the_future_of_space,Burt Rutan,00:19:37,10/25/06,"rocket science,industrial design,NASA,engineering,aircraft,flight,design,invention,entrepreneur,business",2157418
56,https://www.ted.com/talks/edward_burtynsky_on_manufactured_landscapes,Edward Burtynsky,00:34:25,10/31/06,"TED Prize,cities,photography,art,design,pollution,environment,culture,social change",1076990
57,https://www.ted.com/talks/robert_fischell_on_medical_inventing,Robert Fischell,00:26:49,10/31/06,"TED Prize,medicine,health care,disease,science,invention,business,technology",426034
59,https://www.ted.com/talks/bono_s_call_to_action_for_africa,Bono,00:27:52,10/31/06,"AIDS,entertainment,philanthropy,global issues,poverty,activism,Africa,social change",737260
